Series Name,Series Code,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68805704,27.64125466,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6404531,10.84349173,10.19,8.881975508,9.24380167,9.660699222,8.840543777,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.487703766,9.47,6.460188721,6.248368933,6.70316309,6.905041635,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.202333241,3.165461496,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.535483023,7.622048927,9.95,7.426403463,6.971824232,7.339146426,7.49751851,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.12235042,5.882585531,5.94,5.255172298,7.402478619,5.729761047,4.642152414,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.917562724,15.38034528,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.87064714,10.05510836,10.97,9.307138842,9.075439421,8.364713354,7.285563648,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.897143486,6.541613248,4.92,4.337132474,5.220725197,3.495550901,4.254744202,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,3.315333333,3.48,3.933333333,3.124166667,3.124583333,3.332916647,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.001145161,2.44015865,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4722464,13.0144523,11.67,9.640064238,9.070802753,10.23155157,9.854876995,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.03889075,8.693057608,8.19,8.639188374,13.41150609,8.431479448,7.35257566,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,El Salvador,SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Eswatini,SWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Fiji,FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,France,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.63363999,11.67827838,10.48,10.73699618,7.555189012,6.672176016,6.574586034,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Gabon,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63738336,10.93886839,9.01,7.763438306,7.317238139,8.558626223,7.569134235,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Ghana,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.77970252,22.28022221,26.01,13.40328253,8.657276145,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Guatemala,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Guyana,GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Honduras,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,India,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.252663494,3.031802364,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Indonesia,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,"Iran, Islamic Rep.",IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Ireland,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65121467,11.22855768,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.179864352,7.472850799,7.42,6.834665004,6.050014464,5.980355953,5.976587161,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Japan,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.84200179,16.32232664,16.57,13.74254821,12.97172966,11.29938209,10.85087955,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Jordan,JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.827053515,4.571105912,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Kenya,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.722376791,10.02652125,9.25,8.7502047,11.04263768,10.25565491,9.484942257,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,"Korea, Dem. People’s Rep.",PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,"Korea, Rep.",KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.363074636,6.652026572,6.43,6.004977483,5.43041391,5.057969847,4.810298234,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Kuwait,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.874911586,3.17161195,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
