countrycode,year,median
CAF,1993,0.5809532041385395
MMR,1993,0.6809222854006693
MLI,1993,0.716787774734667
MOZ,1993,0.7281722670805509
LBR,1993,0.7536674497811443
SWZ,1993,0.754527910260274
COD,1993,0.795737112165695
BFA,1993,0.8104525141599074
SLE,1993,0.8925866219723808
BDI,1993,1.1056637543605141
NER,1993,1.1888964384980647
TCD,1993,1.1958967615218812
TZA,1993,1.2355125457148046
GMB,1993,1.2441633390365896
RWA,1993,1.2880917922244295
ETH,1993,1.289644239392976
MDG,1993,1.3572371264690717
MWI,1993,1.3654069622491025
NPL,1993,1.4138350037188456
GNB,1993,1.454419888630067
HTI,1993,1.4544228036695077
TGO,1993,1.4677927474951902
GIN,1993,1.4746714452269485
UGA,1993,1.5196967405593471
SEN,1993,1.5323983926723035
NGA,1993,1.5358104690641785
CHN,1993,1.6551253652446403
BEN,1993,1.670144802572925
ZMB,1993,1.6918538712609315
IDN,1993,1.7062929376242266
PNG,1993,1.7898680155817719
COG,1993,1.843422174154618
VNM,1993,1.8490521308146792
NAM,1993,1.8500609335195999
CMR,1993,1.9229214164417998
LSO,1993,1.9356407587857123
CPV,1993,1.9491948271080104
IND,1993,1.9873544181992986
GHA,1993,2.024138155362824
BTN,1993,2.0534015240705776
SDN,1993,2.0613808550299977
PAK,1993,2.122122403906389
BIH,1993,2.148791321349481
BGD,1993,2.174349815787461
MRT,1993,2.212957450251586
AGO,1993,2.274352391378201
LAO,1993,2.316810926254725
UZB,1993,2.3969011228571584
LCA,1993,2.470478382721996
KEN,1993,2.4860819414315403
TJK,1993,2.61228096172986
TKM,1993,2.6239426274739004
SLB,1993,2.6453808787201476
IRQ,1993,2.651931796551918
BWA,1993,2.777381368884112
GUY,1993,2.868848205973174
ARM,1993,2.9292211958725547
PHL,1993,3.0496522077198973
CIV,1993,3.1657634977434763
ZAF,1993,3.1912204096903736
VUT,1993,3.1979478295923505
HND,1993,3.5425239226368164
LKA,1993,3.571973205973174
EGY,1993,3.651561212642863
MNG,1993,3.677982648265374
NIC,1993,3.704082394632648
GTM,1993,3.801187183445842
ALB,1993,3.9789845410419833
ZWE,1993,4.00032669507342
KIR,1993,4.0281992323118
DJI,1993,4.07940502895272
LTU,1993,4.146321565707211
YEM,1993,4.161914216389204
BOL,1993,4.220584448553124
ECU,1993,4.301473900053791
JAM,1993,4.380858168521674
FJI,1993,4.42274153670355
SUR,1993,4.475546624025346
BRA,1993,4.578690177422115
TUN,1993,4.591681208794748
COM,1993,4.59697121016449
PER,1993,4.655433556974107
SYR,1993,4.667794195516138
SLV,1993,4.862042429460112
KAZ,1993,4.88243516983137
TUV,1993,4.921556767382754
DZA,1993,4.999457833308477
WSM,1993,5.020702805396967
THA,1993,5.035764040563629
FSM,1993,5.040205895269895
MAR,1993,5.083983168521674
MUS,1993,5.318930858079439
ROU,1993,5.396159375940159
MDA,1993,5.432116641801414
GAB,1993,5.579082394632647
BLZ,1993,5.579083513267473
JOR,1993,5.615701586389853
GEO,1993,5.700494298678899
COL,1993,5.72198275927988
UKR,1993,6.069866286328195
MKD,1993,6.13000990095325
MEX,1993,6.166931155087582
BLR,1993,6.384843666454561
MNE,1993,6.558264438128598
AZE,1993,6.611648106900285
TON,1993,6.7158550337990786
IRN,1993,6.918517255836559
PSE,1993,6.9611880423222265
LVA,1993,7.009245499796005
CHL,1993,7.029138048471782
DOM,1993,7.0489401872445185
PAN,1993,7.257052044058276
TUR,1993,7.259706233280195
CRI,1993,7.4883724589226786
TTO,1993,7.596359095964902
POL,1993,7.691751314119669
VEN,1993,7.7870911822285205
SRB,1993,8.183563218403357
EST,1993,8.36235576165487
PRY,1993,8.375127523229942
MYS,1993,8.525605433543308
RUS,1993,9.29881364524325
HRV,1993,10.437666041590878
SYC,1993,12.05258570484422
ARG,1993,13.051062345490209
HUN,1993,13.106373153124327
BGR,1993,13.450245963398533
SVK,1993,13.976455180673097
CZE,1993,14.300777554902897
URY,1993,16.711448723070003
PRT,1993,16.711837034733733
LBN,1993,17.303350093853343
SVN,1993,17.5777509893637
KOR,1993,18.45108391616486
ISR,1993,18.71609651969876
MLT,1993,19.357334078303992
GRC,1993,19.421875
CYP,1993,19.798413864482523
IRL,1993,20.79716871605107
ESP,1993,21.21591790171034
GBR,1993,26.7021484375
ITA,1993,27.183442573058635
AUS,1993,28.11388053153717
FIN,1993,28.852614241001717
ISL,1993,29.306053347641253
JPN,1993,29.7021484375
SWE,1993,31.67023998741273
FRA,1993,31.984994799280475
BEL,1993,32.235627148518304
NLD,1993,33.48542699456439
NOR,1993,34.85254948764785
DNK,1993,37.108511223542095
CAN,1993,37.50288169359574
DEU,1993,39.625
AUT,1993,39.777141552249105
USA,1993,43.421875
LUX,1993,47.22421579464482
CHE,1993,47.79905704842896
COD,2002,0.49469745064931125
MOZ,2002,1.0375432906153714
TZA,2002,1.0551008147843286
MDG,2002,1.0876682534925108
BDI,2002,1.0907289817222399
NER,2002,1.1278951935025436
RWA,2002,1.1889773496916363
SLE,2002,1.2049734412226727
MWI,2002,1.262471225946262
MMR,2002,1.3188233364623527
TCD,2002,1.3366337343198786
HTI,2002,1.365280521494732
BFA,2002,1.3716131986392404
GMB,2002,1.3853526178883722
CAF,2002,1.4214398247243187
LSO,2002,1.4403110110531239
UGA,2002,1.4674825752339882
GIN,2002,1.518537079911736
MLI,2002,1.6285763135561249
NGA,2002,1.6430591059843942
TGO,2002,1.700738299729688
PNG,2002,1.7110225120947653
COG,2002,1.713472210435899
UZB,2002,1.7216210037588433
GNB,2002,1.7869732139220014
NPL,2002,1.8202872287805578
LBR,2002,1.8563213989963134
ETH,2002,1.8659949954887558
SLB,2002,1.8959614501293773
ZMB,2002,1.9216344383500312
BEN,2002,1.9276729534364803
SEN,2002,1.9559658011821832
SWZ,2002,2.007865516964005
TLS,2002,2.031486397228538
IND,2002,2.1279252045064885
KEN,2002,2.2284721702498915
VNM,2002,2.2332585802072362
TKM,2002,2.2800550554349814
KGZ,2002,2.299681639897682
LAO,2002,2.3132956092306705
BGD,2002,2.3181340221419613
TJK,2002,2.4036076032646543
PAK,2002,2.423567784293998
NAM,2002,2.5539839194245775
SDN,2002,2.6239426274739004
IDN,2002,2.641355363381616
GHA,2002,2.6864045148601265
CHN,2002,2.7387377517296647
AGO,2002,2.7936993074110257
CIV,2002,2.879843598619866
ZAF,2002,2.9453797705199825
BTN,2002,3.012358099179795
CMR,2002,3.030874397832789
ARM,2002,3.121242265361843
BWA,2002,3.1474199650626273
VUT,2002,3.162607542826153
DJI,2002,3.308864464838382
MRT,2002,3.3695958276730056
LCA,2002,3.4418627517296647
MDA,2002,3.5172120168717003
MDV,2002,3.605062557786196
PHL,2002,3.6697416071813267
NIC,2002,3.7041041472080525
LKA,2002,3.966513451555603
YEM,2002,4.030093863939678
EGY,2002,4.157945067928261
MNG,2002,4.1593163646734
CPV,2002,4.165139422404064
HND,2002,4.171169346296765
KIR,2002,4.188429457750483
ZWE,2002,4.20726451408567
BOL,2002,4.325727065156704
COM,2002,4.379395968378832
IRQ,2002,4.407986892222591
GEO,2002,4.455239108214804
KAZ,2002,4.554140638116263
ROU,2002,4.686442332269403
MAR,2002,4.772469332824179
ECU,2002,4.792618594789972
VEN,2002,4.811573163327419
SUR,2002,4.837462232385692
XKX,2002,4.8927538756848925
GAB,2002,5.011467795856977
COL,2002,5.111333328250157
FJI,2002,5.156546545094972
ALB,2002,5.2064537150174885
SYR,2002,5.289167060872213
GUY,2002,5.292290047257742
DZA,2002,5.316165865413373
FSM,2002,5.319313711452575
PER,2002,5.437610046033646
UKR,2002,5.7021484375
TUN,2002,5.737355761654872
PRY,2002,5.849726626396267
SLV,2002,5.980354572506194
BLZ,2002,6.044812204850737
BLR,2002,6.128939780854076
MEX,2002,6.197973307063621
GTM,2002,6.278284432088818
TUV,2002,6.308893321331141
ARG,2002,6.333289620417852
PSE,2002,6.495515506296992
THA,2002,6.518031236456437
WSM,2002,6.645422536622132
JOR,2002,6.663631764753122
BRA,2002,7.020765430674151
TUR,2002,7.238118673325146
MUS,2002,7.262812673601769
AZE,2002,7.408208328250157
JAM,2002,7.561672330293525
PAN,2002,7.736650686195487
CHL,2002,8.185713843257037
TON,2002,8.240440530524653
LTU,2002,8.363737751729664
EST,2002,8.456154493347576
DOM,2002,8.459362659928459
MKD,2002,9.001596361780479
RUS,2002,9.18766466404756
IRN,2002,9.233218863939678
MNE,2002,9.58230261899961
LVA,2002,10.113822094322943
CRI,2002,10.371954646294748
POL,2002,10.483952045440674
SRB,2002,10.872783672064543
MYS,2002,11.940311011053122
BIH,2002,11.967340059175559
SYC,2002,12.502359449166503
TTO,2002,12.860512545714803
HUN,2002,12.972886879345186
URY,2002,13.509837402864525
SVK,2002,14.514775231993225
LBN,2002,15.984118537690234
CZE,2002,18.690025031004893
HRV,2002,18.787135771497308
PRT,2002,20.317883261796208
SVN,2002,21.04022553554055
ISR,2002,21.19401728297738
GRC,2002,25.591681208794746
MLT,2002,26.207638140275463
KOR,2002,28.522326775524615
ESP,2002,29.366844192051236
AUS,2002,31.872783672064543
ITA,2002,32.717230558380834
JPN,2002,32.921875
CYP,2002,33.603672725360454
GBR,2002,34.377270432596376
FIN,2002,34.55555344745517
IRL,2002,35.15207800179332
SWE,2002,35.23851692279427
FRA,2002,35.66965867206454
ISL,2002,37.89512520396984
BEL,2002,38.579502613609534
NLD,2002,40.533183790438116
DNK,2002,40.54481220485073
CAN,2002,40.588043212890625
AUT,2002,41.961802548814255
DEU,2002,43.087246593153914
NOR,2002,43.20176537127908
USA,2002,48.95630763529468
CHE,2002,51.16019843627702
LUX,2002,58.085923938946856
CAF,2015,1.0496011638402576
MDG,2015,1.0911472276098573
SSD,2015,1.1059916297494499
COD,2015,1.2408883765833434
BDI,2015,1.241484194550267
MWI,2015,1.3379292393047988
GNB,2015,1.4292777316434184
MOZ,2015,1.510357459806088
ZMB,2015,1.5574737502303326
RWA,2015,1.7554662254594062
TGO,2015,1.9087892618945976
BEN,2015,1.9203555583808338
TZA,2015,1.9222758611559987
MLI,2015,1.9628312332801952
SLE,2015,1.9721680909719637
NGA,2015,2.005245802913026
NER,2015,2.0451244957948207
BFA,2015,2.0769419559929854
LBR,2015,2.2171560303147784
UGA,2015,2.271048496679084
TLS,2015,2.312940659398514
KEN,2015,2.38703890970834
GIN,2015,2.4339571636693664
YEM,2015,2.519361505974708
ETH,2015,2.5260150620862536
AGO,2015,2.5383602181563334
SEN,2015,2.5519578286911506
STP,2015,2.6142246826864026
TCD,2015,2.6603780718508174
COG,2015,2.66873916813505
CIV,2015,2.794950843233685
SLB,2015,2.798483458162156
ZWE,2015,2.9096689706408627
PNG,2015,3.0293911165153995
BGD,2015,3.055409122672412
SWZ,2015,3.0834782771929823
LAO,2015,3.1011451967481785
LSO,2015,3.1193760697519353
HTI,2015,3.182073584979949
IND,2015,3.19175131411967
UZB,2015,3.231443828887045
SYR,2015,3.325575921167271
SDN,2015,3.534491667713599
VUT,2015,3.5468610643691556
DJI,2015,3.6714044094638756
PAK,2015,3.6786097100155546
CMR,2015,3.695713970174828
GMB,2015,3.766950500639505
FSM,2015,3.849771562729574
COM,2015,4.050208980113249
NPL,2015,4.054065283399359
IDN,2015,4.146321565707211
KIR,2015,4.207951329509239
MMR,2015,4.212870749302542
BWA,2015,4.250259034321383
PHL,2015,4.3089571636693655
KGZ,2015,4.329311277407508
ZAF,2015,4.4163743755978
GHA,2015,4.612649690345279
MRT,2015,4.7080313592205885
EGY,2015,4.821823373318945
IRQ,2015,4.978390083915914
HND,2015,5.024985436335877
TJK,2015,5.185351216706669
NAM,2015,5.403763358958903
BLZ,2015,5.561669658724933
ARM,2015,5.609369940053418
GTM,2015,5.8155206042688254
GEO,2015,5.935015813240344
LKA,2015,6.030065716244158
FJI,2015,6.122915555924495
TKM,2015,6.254187345490209
CPV,2015,6.5186456042688254
TUV,2015,6.526793352000105
ALB,2015,6.554237085360046
MEX,2015,6.739745770921957
SUR,2015,6.835427943995164
WSM,2015,7.163744606598779
VNM,2015,7.275947781486985
GAB,2015,7.3237036522759444
MAR,2015,7.447564434115558
SLV,2015,7.494342938718044
JAM,2015,7.5548530079696246
TON,2015,7.622422681914842
XKX,2015,7.720455834335224
NIC,2015,7.754187345490209
DZA,2015,7.7952810303147775
GUY,2015,7.830064414402992
JOR,2015,8.032163208379382
VEN,2015,8.133389158367565
BTN,2015,8.161846761312924
CHN,2015,8.298012562236831
MNG,2015,8.349731431293982
MDA,2015,8.406869799280479
COL,2015,8.940311011053122
PSE,2015,8.998489921458903
ROU,2015,9.145272749326283
TUN,2015,9.191220409690374
ECU,2015,9.427856431293982
MKD,2015,9.428454512135817
PER,2015,9.554468879623071
KAZ,2015,9.641618447933292
BOL,2015,9.697569538839039
DOM,2015,9.906807360634359
UKR,2015,10.019641227414041
MUS,2015,10.094459797115569
LCA,2015,10.40258083272341
MDV,2015,10.832009551962354
SRB,2015,11.03275700032098
PRY,2015,11.134031588948059
MNE,2015,11.279967162981826
THA,2015,11.908208328250158
IRN,2015,12.144225485130534
BRA,2015,12.392908875338579
TUR,2015,12.554237085360047
POL,2015,14.265023958112673
BGR,2015,14.354955972580917
CRI,2015,14.508323723070006
PAN,2015,14.994751573704297
CHL,2015,15.285763140275463
SYC,2015,16.05106234549021
HRV,2015,16.733218863939676
RUS,2015,16.841073947909578
BLR,2015,17.10464866317976
ARG,2015,17.342454493487743
BIH,2015,17.65477044671925
AZE,2015,17.669658672064543
GRC,2015,18.403619298678894
LBN,2015,18.529982647544625
HUN,2015,18.82602134125798
LVA,2015,19.026719726313296
LTU,2015,19.77880097916061
TTO,2015,19.839691957834788
MYS,2015,20.248942627473898
SVK,2015,20.861913629239215
URY,2015,20.973210802836242
PRT,2015,21.906869799280475
EST,2015,23.758163145078857
CZE,2015,25.066347545895084
ISR,2015,28.701801136482587
SVN,2015,30.72305727005005
ESP,2015,30.978187095563133
ITA,2015,34.67010583048068
CYP,2015,34.91339339726598
KOR,2015,35.3271484375
MLT,2015,36.889225482940674
JPN,2015,38.3271484375
IRL,2015,39.05103419779468
GBR,2015,39.27693679719252
FIN,2015,43.00832372307
BEL,2015,44.43440878453383
FRA,2015,44.54628173642188
DNK,2015,44.77876335895889
DEU,2015,45.4052734375
NLD,2015,45.427856431293975
SWE,2015,47.054237085360036
AUS,2015,47.174978236220035
ISL,2015,47.26594573483866
AUT,2015,48.83916628458385
CAN,2015,50.81821586252442
USA,2015,51.44002498515468
CHE,2015,55.62195710107059
LUX,2015,57.57908108119389
NOR,2015,63.01916583613005
